question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,user_ans
Which of the following is not a dietary fiber?,"Dietary Fibre Insoluble Dietary Fibres Soluble Dietary Fibres Excreted unchanged from the intestine. get conveed to gel form, and then they are excreted Cellulose Hemicellulose Lignin Resistant starch Pectins Beta - glucans (b-D-glucose) Psyllium husk Inulin Resistant starch Most common dietary fibre is cellulose.",4,Inulin,Cellulose,Pectin,Gum,Biochemistry,NEET 2019,6864c36d-e768-4ba1-a79a-51d8f089fbc6,single,4
Warburg effect is:,"Warburg effect is aerobic glycolysis. Warburg effect Cancer cells conve pyruvate to lactate even in the presence of O2. This is known as aerobic glycolysis. Lactic acid produces local acidic environment helping in metastasis. Energy is derived from conversion of pyruvate to lactate is just 2 ATPs, cancer cells take up large amount of glucose compared to normal cells. This enhanced glucose uptake is the biochemical basis of PET scan.",1,Aerobic glycolysis,Anaerobic glycolysis,Inhibition of glycolysis by oxygen,Inhibition of oxygen uptake by glycolysis,Biochemistry,Galactose and fructose metabolism,4f701131-b794-4eb2-8226-f8149d5e2d1c,single,1
"At physiologic pH, DNA is",Nucleic acid carries negative charge at physiological pH Negative charge at physiologic pH is due to presence of phosphodiester linkages This propey is useful for the separation of DNA or RNA by electrophoresis. DNA will move towards the anode. Shoer DNA molecules will move faster than longer molecules in agarose gel electrophoresis.,2,Positively charged,Negatively charged,Amphoteric,Uncharged,Biochemistry,Basics of DNA,80d1164b-ec5d-4fb6-b169-fa0b66e1e4db,single,2
Hunters disease is caused by?,"ANSWER: (B) Iduronate sulfataseREF: Harper 27th ed chapter 47See APPENDIX-17 for ""LYSOSOMAL STORAGE DISORDERS"" APPENDIX - 17Lysosomal Storage Disorders DiseaseDeficiencyInheritance(1) Lipid Storage Disorder(Sphingolipidoses)GM1 gangliosidosesBeta galactosidaseARGM2 gangliosidosesTay-sach diseaseBeta hexosaminidase -A & BARSandhoff diseaseBeta hexosaminidase -A & BARGaucher disease (most common LSD)GlucocerebrosidaseARNiemann-PickdiseaseType-A&BSphingomyelinaseARType- C&DNPC1 or NPC2 proteinsARFabry diseaseAlpha- galactosidase-AXRFarber's diseaseCeramidaseARKrabbe diseaseGalactosylceramidaseARMetachromatic leukodystrophy(MLD)Arylsulfatase AARWolman's diseaseacid lipaseAR(2) Mucopoly SaccharidosesMPS I- Hurler syndrome MPS II- Hunter syndromea-L-iduronidase Iduronate sulfataseARXRMPS IIISanfilippo syndrome AHeparan sulfamidaseARSanfilippo syndrome BN-acetylglucosaminidase Sanfilippo syndrome CAcetyl-CoA:alpha-glucosaminideacetyltransferase Sanfilippo syndrome DN-acetylglucosamine 6- sulfatase MPS IVMorquio syndrome AGalactose-6-sulfate sulfataseARMorquio syndrome BBe ta-galactosidase MPS VI- Maroteaux-Lamy syndromeN-acetyigalactosamine-4-sulfataseARMPS VII- Sly syndrome/2-glucuronidaseARMPS IX- Natowicz syndromeHyaluronidaseAR(3) GlycoproteinosisMucolipidosisSialidosis (mucolipidosis I)stalidaseARMucolipidosis IIN-acetylglucosamine-1- phosphotransferaseMucolipidosis III(pseudo-Hurlerpolydystrophy)N-acetylglucosamine-1-phosphotransferaseFucosidosis alpha-l-fucosidaseARMannosidosis Alpha & Beta-mannosidosisARNOTE: All except Fabry's and Hunter's disease (x linked recessive) are autosomal recessive.",2,a-L-iduronidase,Iduronate sulfatase,Aryl Sulfatase,a-glucuronidase,Biochemistry,"Phospholipids, Glycolipids and their disorders",a929bd4f-697c-4131-91da-953312c4bfff,single,2
"In ureotelic animals, carbamoyl group are transferred to:-","The question is asking about the first step of the urea cycle in an indirect way (See Fig). Based on how nitrogen is excreted, animals are divided into 3 categories. Ammoniotelic animals - Animals that excrete ammonia. e.g. Fishes Ureotelic animals - Animals which excrete urea e.g. Mammals including man Uricotelic - Animals that excrete uric aciduric acid. e.g. Birds",3,Urea,Uric acid,Ornithine,Creatine,Biochemistry,Urea cycle,d9fb0593-d3c8-4460-9400-185b73421c82,single,3
"During unwinding of DNA, relief of supercoil is made possible by","During unwinding of DNA, relief of supercoil is made possible by Topoisomerase DNA helicase unwinds the DNA without cutting but using energy from hydrolysis of ATP. Gyrase is a bacterial type II topoisomerase which acts on closed circular DNA (bacteria have circular DNA).",1,Topoisomerase,Gyrase,Helicase,Polymerase,Biochemistry,Replication,2e37421e-5c20-4624-9bc9-5a1f11c75ec5,single,1
"At Tm or melting temperature, what percentage of dsDNA is denatured?","Melting temperature or Tm Temperature when half (50%) of the helical structure is denatured. At lower temperature, the melted strands are re-associated; this is called annealing. When DNA is denatured, unstacking of bases occur resulting in increased absorbance at 260 nm-hyperchromicity",2,25%,50%,75%,100%,Biochemistry,Basics of DNA,81b7311f-395f-4e05-b51b-1a9002c0e1e5,single,2
Not a rate limiting enzyme -,"Ans. is 'd' i.e., Aldolase ReactionsRate limiting enzymesGlycolysisPhosphofructokinaseGlycogen synthesisGlycogen symthetaseGlycogenolysisGlycogen phosphoiylaseTCA cyclelsocitrate dehydrogenaseFatty acid synthesisAcetyl CoA carboxylaseCholesterol synthesisHMG CoA reductaseKetone body symthesisHMG CoA synthaseBile acid synthesis7-a-hydroxylaseCatecholamine synthesisTyrosine hydroxylaseUrea synthesisCarbamoyl transferase",4,PFK,HMG CoA reductase,HMG CoA synthase,Aldolase,Biochemistry,Mechanisms of Enzyme Action,cbdfb456-3ddc-4b47-b0b4-c934c7a15da3,single,1
Total number of dehydrogenases Krebs cycle -,"Ans. is 'c' i.e., 4 o There are 4 dehydrogenase in TCA cycle(i) Isocitrate dehydrogenase, (ii) a-ketoglutarate dehydrogenase, (iii) Succinate dehydrogenase, (iv) Malate dehydrogenase.Important facts about TCA cycleo First product of the cycle is citrate Q synthesized by enzyme citrate synthase.o The final product is oxaloacetate which condenses with acetyl CoA to form the first product (citrate) of next cycle.o There are two irreversible steps : (i) oxaloacetate to citrate catalysed by citrate (synthase) Q, and (ii) a- ketoglutarate Q to succinyl CoA. catalyzed by a-ketoglutarate dehydrogenase,o Water (H2O) is lost at 3 reactions: (i) Conversion of citrate to cis-aconitate Q by aconitase, (ii) Conversion of cis-aconitate to isocitrate by aconitase, (iii) Conversion of fumarate to malate by fumarase.o NADH is produced and CO2 is liberated Q at 3 steps : (i) Conversion of isocitrate to a-ketoglutarate by isocitrate dehydrogenase Q, (ii) Conversion of a-ketoglutarate to succinyl CoA by a-ketoglutarate dehydrogenase, (iii) Conversion of L-malate to oxaloacetate by malate dehydrogenase,o FADH, is produced at 1 step i.e.. Conversion of succinate to fumarate by succinate dehydrogenase,o GTP is produced by substrate level phosphorylation by succinate thiokinase which is coverted ATP as GTP and ATP are interconvertible.oAs TCA cycle occurs in mitochondria, it is absent in cells which lack mitochondria, e.g., erythrocytes(r).",3,3,2,4,5,Biochemistry,Kerbs Cycle,bc209b69-a1b2-4e52-b393-c18cc7bb58a9,single,3
Action of a-subunit of G protein is:,"Ans. is 'a' i.e. Breakdown of GTP to GDP This question is an indirect repetition from May 08 (q no. 22 of biochemistry). a-subunit of G protein has inherent GTPase activity which converts GTP into GDP.G proteinsG proteins are so-called because they bind the guanine nucleotidesGDP and GTP. They are heterotrimers (i.e., made of three different subunits)The three subunits are:Ga, which carries the binding site for the nucleotide. At least 21 different kinds of Ga molecules are found in mammalian cells.GbGgHow They WorkIn the inactive state G protein has GDP bound to its Ga subunit.When a hormone or other ligand binds to the associated G protein coupled receptor (GPCR), the GDP is exchanged for GTPGTP activates Ga causing it to dissociate from GbGg (which remain linked as a dimer).Activated Ga in turn activates an effector molecule (adenylyl cyclase- an enzyme in the inner face of the plasma membrane which catalyzes the conversion of ATP into the ""second messenger"" cyclic AMP).HormoneGDP The beta and gamma subunit do not separate from each other, and GbGg dimer also activates a variety of effectors.* The actions of the Ga-GTP complex are short lived because the a-subunit has an inherent GTPase activity, resulting in the rapid hydrolysis of GTP to GDP. This leads to reassociation of the Ga unit with the GbGg dimer. This inactivates the G protein.",1,Breakdown of GTP to GDP,Conversion of GDP to GTP,Internalization of receptors,Binding of agonist,Biochemistry,Mechanisms of Enzyme Action,96676b4a-9e5d-4633-8864-e96c9f641e7b,single,1
Which amino acid is regarded as collector of amino groups?,"First step in catabolism of amino acids is the transfer of NH3 group from amino acid to Alpha Keto- Glutarate forming Glutamate- known as Transamination. So Glutamate is regarded as collector of amino groups. Note:-The safe non-toxic form of ammonia transpo in blood from most body tissues is Glutamine. Collector is Glutamate, transpoer is Glutamine",4,Aspaate,Arginine,Cysteine,Glutamate,Biochemistry,Urea cycle,3192db40-15c8-4f5f-8d8c-4ce8e8587e0a,single,3
Protein not synthesized in liver:-,"Immunoglobulins - are synthesized from plasma cell. Other all plasma protein are synthesized from liver They are glycoproteins Consist of two identical heavy (H) Chains and two identical light (L) chains Is a Y-shaped tetramer (H2L2) Humans have five classes of immunoglobulins-namely IgG, IgA, IgM, IgD and IgE-containing the heavy chains U, a, u, 6 and e, respectively.",2,Albumin,Immunoglobulins,Plasma enzymes,Acute phase proteins,Biochemistry,NEET 2019,8df7e22b-44b5-406a-aff3-80157a7c7958,single,2
Type-I hyperlipoproteinemia is characterized by:-,Hyperlipoproeinemia Type Increased plasma lipoproteins Increased plasma lipid (most) Probable metabolic defect I Chylomicrons Triacyglycerols Deficiency of lipoprotein lipase IIa LDL Cholesterol Deficiency of LDL receptors IIb LDL and VLDL Triacylglycerols and cholesterol Overproductionn of apo-B III IDL Triacylglycerols and cholesterol Abnormality in apo-E IV VLDL Triacylglycerols Overproduction of TG V Chylomicrons and VLDL Triacylglycerols -,4,Elevated LDL,Elevated lipoprotein lipase,Elevated cholesterol,Elevated triglycerides in plasma,Biochemistry,NEET 2019,92fbce18-2b62-4001-abae-12e22e785956,single,4
Defect in Menke disease:,MENKE DISEASE / kinky OR STEEL HAIR SYNDROME- deficiency of copper results in defective crosslinking of collagen and elastin by the copper-dependent enzyme lysyl oxidase. Defect in dietary absorption of copper Die with in 5 years of age Kinky hair and growth retardation. menke disease is X linked disease due to mutation in ATP 7 A gene. This gene is present on Xp 12-13.,2,Lysyl hydroxylase,Lysyl oxidase,Prolyl hydroxylase,Prolyl oxidase,Biochemistry,NEET 2019,f36b3977-516d-4155-8c16-ce54ebc040bc,single,3
"In urea cycle, hydrolysis occurs during:",Arginase the final enzyme of urea cycle is a hydrolase i.e. it uses water to break the bond in arginine It breaks arginine into urea and ornithine Urea is transpoed to kidneys from liver blood and then excreted in urine,1,Cleavage of Arginine,Cleavage of ornithine,Formation of Argininosuccinate,Formation of citrulline,Biochemistry,Urea cycle,eacf31dc-3e08-45b2-8114-b7daad2bc9c4,single,1
"Final common pathway of metabolism of carbohydrate, lipids and protein metabolism is?","ANSWER: (C) TCAREF: Lippincott's biochemistry 4th ed page 109, Harper's 28th ed page 306See Biochemistry 2013 Session 2 for details of TCA/kerb cycle cyde is an aerobic pathway, because O2. is required as the final electron acceptor. Most of the body's catabolic pathways converge on the TCA cyde. Reactions such as the catabolism of some amino adds generate intermediates of the cycle and are called anaplerotic reactions. The citric add cycle also participates in a number of important synthetic reactions. For example, the cycle functions in the formation of glucose from the carbon skeletons of some amino acids, and it provides building blocks for the synthesis of some amino acids and heme.",3,Glucogenesis,Gycolysis,TCA,HMP pathway,Biochemistry,Kerbs Cycle,aa1c6808-490b-4f14-bea3-166204b191a3,single,3
Amino acid required for conversion of norepinephrine to epinephrine:-,"Norepinephrine to Epinephrine conversion requires SAM (S-Adenosyl Methionine). Enzyme involved is Phenylethanolamine N-methyl transferase. Coisol is the activator. Synthesis of Catecholamines (Dopamine, NE and E) from Tyrosine. SAM (S - adenosyl methionine) is synthesized from dietary methionine with the help of enzyme METHIONINE ADENOSYL TRANSFERASE (MAT).",3,Lysine,Phenyl-alanine,Methionine,Tryptophan,Biochemistry,NEET 2019,cd1e67a9-7a65-4729-8691-f7fc9f68ae28,single,3
Number of ATP generated in one TCA cycle-,"Ans. is 'c' i.e., 10 o In a single TCA cycle 10 molecules of ATP are produced (12 molecules according to older calculations),o One turn of the TCA cycle, starting with acetyl Co A produces 10 ATPs. When the starting molecule is pyruvate, the oxidative decarboxylation of pyruvate, the oxidative decarboxylation of pyruvate yields 2.5 ATPs and therefore, 12.5 ATPs are produced when starting compound is pyruvate. Since, two molecules of pyruvate enter the TCA cycle when glucose is metabolized (glycolysis produces 2 molecules of pyruvate), the number of ATPs is doubled. Therefore, 25 ATP molecules, per glucose molecule, are produced when pyruvate enters the TCA cycle,o Note : Previously calculations were made assuming that NADH produces 3 ATPs and FADH generates 2 ATPs. This will amount a net generation of 30 ATP molecules in TCA per molecule glucose and total 38 molecules from starting. Recent experiments show that these values are overestimates and NADH produces 2.5 ATPs and FADH produces 1.5 ATPs. Therefore, net generation during TCA is 25 ATPs and complete oxidation of glucose through glycolysis plus citric acid cycle yield a net 32 ATPs.o Energy yield (number of ATP generated) per molecule of glucose when it is completely oxidized through glycolysis plus citric acid cycle, under aerobic conditions, is as follows :- Method of ATP formationNo of ATPs gained perglucose (new calculation)No of ATPs As per old calculationPathwayStepEnzymeSourceGlycolysis1Hexokinase- Minus1Minus 1Do3Phosphofructokinase- Minus1Minus IDo5Glyceraldehyde-3-p DHNADHRespiratory chain2.5x2 =53x2=6Do61J-BPG kinaseATPSubstrate level1x2 =21x2=2Do9Pyruvate kinaseATPSubstrate level1x2 =21x2=2Pyruvate to Acetyl CoA-PyruvateDehydrogenaseNADHRespiratory chain2.5 x 2 =53x2=6 TCA cycle3Isocitrate DHNADHRespiratory chain2.5 x 2 =53x2=6Do4Alpha keto glutarate DHNADHRespiratory chain2.5 x 2 =53x2=6Do5Succinate thiokinaseGTPSubstrate level1x2 =21x2=2Do6Succicinate DHFADH2Respiratory chain1.5 x 2 =32x2=4Do8Mai ate DHNADHRespiratory chain2.5 x 2 =53 x 2= 6Net generation in glycolytic pathway 9 minus 2=710 minus 2=8Generation in pyruvate dehydrogenase reaction=5=6Generation In citric acid cycle=20=24Net generation of ATP from one glucose mole=32=38",3,2,5,10,11,Biochemistry,Kerbs Cycle,e48672cc-90bf-4d36-8877-b2d7b4c995cc,single,3
Vitamin A is stored in:-,"HSCs (Hepatic Stellate Cells) are: Pericytes which exist in the space between parenchymal cells and liver sinusoidal endothelial cells of the hepatic lobule. Also called Vitamin A-storing cells, Lipocytes, Interstitial cells, Fat-storing cells or Ito cells, Perisinusoidal cells Store 50-80% of vitamin A in the whole body as Retinyl Palmitate. Extra information: Vitamin A - The fat-soluble vitamin A, as such is present only in foods of animal origin. However, its provitamins carotenes are found in plants Retinol, retinal and retinoic acid are regarded as vitamers of vitamin A. Function of vit A - Vitamin A is necessary for a variety of functions such as vision, proper growth and differentiation, reproduction and maintenance of epithelial cells. Deficiency manifestations of the eyes - nyctalopia is one of the earliest symptoms of vitamin A deficiency.",3,Kupfer cells,Hepatocytes,Ito cells,Endothelial cells of liver,Biochemistry,NEET 2019,b5988495-d56c-42ab-a01d-3a769711b7cf,single,4
DNA replication and transcription occurs in which direction -,"Ans. is 'a' i.e., 51 - 31 Elongation in DNA synthesiso Once the RNA primer has been synthesized at each of the replicating forks, a DNA polymerase III initiates the synthesis of new DNA strand by adding deoxyribonucleotides to the 31 end of RNA primer. Thus, both new strands are synthesized always in 51- 31 direction. Both the DNA strands are synthesized simultaneously, but in opposite direction.o During synthesis of RNA primer and synthesis of DNA strands, the nucleotides are added according to the sequence of base in the template strand, i.e. 'base pairing rule'. For example, an adenine nucleotide would enter at a thymine nucleotide.Elongation in transcriptiono The process of elongation proceeds after the formation of the first phosphodiester bond. After formation of approximately 10 phosphadiester bonds of new RNA, sigma (a) factor dissociates from the core enzyme. RNA polymerase utilize ribnucleotide triphosphate (ATP, GTP, CTP and UTP) for the formation of RNA.o RNA synthesis occurs in 51-3' direction (similar to DNA synthesis), i.e. genetic information is read in 31-51direction on template DNA and complementary base sequence is synthesized in 51-31 direction for RNA strand.o The selection of nucleotide is according to base-pairing rule, (e.g. U opposite to A and G opposite to C)o The process of elongation continues until a termiantion point is reached.",1,51-31,5l-51,31 -51,31 -31,Biochemistry,DNA Replication ,1d59dd69-b8cc-4f7e-baaa-21447e735f49,single,1
Sumoylation of histones proteins is associated with,"Sumoylation of histones is associated with Transcription repression Histone post-translational modifications & their role: Post-translational modifications Role Acetylation of histones H3 and H4 Activation or inactivation of gene transcription Acetylation of core histones Chromosomal assembly during DNA replication Phosphorylation of histone H1 Condensation of chromosomes during the replication cycle ADP-ribosylation of histone DNA repair Methylation of histone Activation and repression of gene transcription Mono-ubiquitylation Gene activation, repression, and heterochromatic gene silencing Sumoylation of histones Transcription repression",3,Activation of gene transcription,Condensation of chromosome,Transcription repression,Inactivation of gene transcription,Biochemistry,Basics of DNA,0a765deb-0d9b-4b03-89a0-60cff2fe3491,single,3
Carboxylases requires -,"Ans. is 'd' i.e., Biotin o Biotin is a coenzyme for carbon dioxide fixation reactions.o It serves as prosthetic group of ATP-dependent carboxylase, i.e., in carboxylation reactionQ,o It acts as coenzyme tor acetyl-CoA carboxylaseQ, propionyl-CoA carboxylaseQ, pyruvate carboxylaseQ and metbylcartonyl-CoA carboxylase.",4,Vitamin B12,Folic acid,Niacin,Biotin,Biochemistry,Mechanisms of Enzyme Action,d5d5045e-5143-462e-bbd9-ff6208dddd9a,single,4
Retinitis pigmentosa patients doesn't have:-,"Not all, but many studies have found that patients with retinitis pigmentosa tend to have lower blood levels of DHA (Docosa Hexaenoic Acid, o3, 22:6), an omega -3 fatty acid found in the photoreceptor cells. ADDITIONAL READING ON DHA: Also known as Cervonic acid. This is having 22 C and 6 double bonds (Docosa means 22, Hexaenoic means 6 double bonds). These days health drinks (bournvita, horlicks) are foified with DHA, as it is impoant for the brain and retina development in infants and children. Decreased amounts lead to increase risk of Retinitis Pigmentosa. DHA is present in high concentration in sperms, retina, cerebral coex. Constant source of DHA is breast milk. Synthesized to a limited extent from a-linolenic acid or obtained directly from fish oils.",1,DHA,Eicosa pentaenoic acid,Arachidonic acid,Timnodonic acid,Biochemistry,NEET 2019,f3161ce9-6869-445f-aa2b-42a56d7a40ce,single,1
